Datum;BundeslandID;Name;TestungenApotheken;TestungenApothekenPCR;TestungenApothekenAntigen;TestungenBetriebe
2021-05-14;6;Steiermark;728128;;728128;559170
2021-05-14;7;Tirol;408727;;408727;97735
2021-05-14;8;Vorarlberg;354658;;354658;89772
2021-05-14;9;Wien;1370190;;1370190;484784
2021-05-14;10;Österreich;4749805;;4749805;2807164
2021-05-15;1;Burgenland;317606;;317606;236824
2021-05-15;2;Kärnten;245370;;245370;110258
2021-05-15;3;Niederösterreich;551628;;551628;689516
2021-05-15;4;Oberösterreich;475251;;475251;425999
2021-05-15;5;Salzburg;342798;;342798;147777
2021-05-15;6;Steiermark;744010;;744010;578229
2021-05-15;7;Tirol;417132;;417132;98881
2021-05-15;8;Vorarlberg;370895;;370895;91588
2021-05-15;9;Wien;1404886;;1404886;505093
2021-05-15;10;Österreich;4869576;;4869576;2884165
2021-05-16;1;Burgenland;319607;;319607;238489
2021-05-16;2;Kärnten;247382;;247382;110336
2021-05-16;3;Niederösterreich;556463;;556463;692787
2021-05-16;4;Oberösterreich;477968;;477968;426365
2021-05-16;5;Salzburg;345506;;345506;147865
2021-05-16;6;Steiermark;748537;;748537;578852
2021-05-16;7;Tirol;419859;;419859;99021
2021-05-16;8;Vorarlberg;381068;;381068;91754
2021-05-16;9;Wien;1415776;;1415776;516462
2021-05-16;10;Österreich;4912166;;4912166;2901931
2021-05-17;1;Burgenland;319987;;319987;239566
2021-05-17;2;Kärnten;247807;;247807;110706
2021-05-17;3;Niederösterreich;557467;;557467;696702
2021-05-17;4;Oberösterreich;478467;;478467;428556
2021-05-17;5;Salzburg;345802;;345802;148501
2021-05-17;6;Steiermark;749655;;749655;581877
2021-05-17;7;Tirol;420270;;420270;99367
2021-05-17;8;Vorarlberg;385338;;385338;92017
2021-05-17;9;Wien;1416478;;1416478;542707
2021-05-17;10;Österreich;4921271;;4921271;2939999
2021-05-18;1;Burgenland;328000;;328000;243869
2021-05-18;2;Kärnten;254192;;254192;113746
2021-05-18;3;Niederösterreich;571634;;571634;711756
2021-05-18;4;Oberösterreich;490924;;490924;442513
2021-05-18;5;Salzburg;353475;;353475;153040
2021-05-18;6;Steiermark;769518;;769518;598844
2021-05-18;7;Tirol;428087;;428087;101027
2021-05-18;8;Vorarlberg;393373;;393373;93981
2021-05-18;9;Wien;1456102;;1456102;557710
2021-05-18;10;Österreich;5045305;;5045305;3016486
2021-05-19;1;Burgenland;333892;;333892;246363
2021-05-19;2;Kärnten;260951;;260951;118739
2021-05-19;3;Niederösterreich;585763;;585763;723850
2021-05-19;4;Oberösterreich;503449;;503449;451583
2021-05-19;5;Salzburg;360674;;360674;155690
2021-05-19;6;Steiermark;788700;;788700;606963
2021-05-19;7;Tirol;435906;;435906;102813
2021-05-19;8;Vorarlberg;400274;;400274;95073
2021-05-19;9;Wien;1495218;;1495218;567593
2021-05-19;10;Österreich;5164827;;5164827;3068667
2021-05-20;1;Burgenland;341461;;341461;249598
2021-05-20;2;Kärnten;270285;;270285;122182
2021-05-20;3;Niederösterreich;604067;;604067;741167
2021-05-20;4;Oberösterreich;519501;;519501;461567
2021-05-20;5;Salzburg;370772;;370772;159529
2021-05-20;6;Steiermark;815608;;815608;620997
2021-05-20;7;Tirol;448075;;448075;104944
2021-05-20;8;Vorarlberg;408320;;408320;96746
2021-05-20;9;Wien;1550819;;1550819;579755
2021-05-20;10;Österreich;5328908;;5328908;3136485
2021-05-21;1;Burgenland;348896;;348896;252625
2021-05-21;2;Kärnten;278138;;278138;122597
2021-05-21;3;Niederösterreich;619825;;619825;754762
2021-05-21;4;Oberösterreich;533486;;533486;471746
2021-05-21;5;Salzburg;379296;;379296;162231
2021-05-21;6;Steiermark;838929;;838929;634193
2021-05-21;7;Tirol;457608;;457608;107630
2021-05-21;8;Vorarlberg;415547;;415547;98168
2021-05-21;9;Wien;1599197;;1599197;592419
