"Stamp","Date","RegionID","Region","Population","newConfirmed","rmaConfirmed","newConfPop","newRecovered","newDeaths","sumConfirmed","sumRecovered","sumDeaths"
2020-08-29,2020-08-29,312,"Korneuburg",91254,1.28571428571429,9,1.40894019518518,1.28571428571429,0,238,217,5
2020-08-29,2020-08-29,301,"Krems an der Donau(Stadt)",25036,0,0,0,0.285714285714286,0,49,44,4
2020-08-29,2020-08-29,313,"Krems(Land)",56487,0.142857142857143,1,0.252902690631725,0.428571428571429,0,189,179,8
2020-08-29,2020-08-29,705,"Kufstein",110287,10.2857142857143,72,9.32631614398278,4.28571428571429,0,672,545,35
2020-08-29,2020-08-29,706,"Landeck",44386,0.571428571428571,4,1.28740722621676,0.428571428571429,0,977,957,16
2020-08-29,2020-08-29,610,"Leibnitz",84756,1,7,1.17985747321724,0,0,203,191,4
2020-08-29,2020-08-29,611,"Leoben",59700,0.285714285714286,2,0.478583393156258,0.142857142857143,0,50,44,3
2020-08-29,2020-08-29,707,"Lienz",48738,0,0,0,0.571428571428571,0,164,156,6
2020-08-29,2020-08-29,612,"Liezen",79652,1.28571428571429,9,1.61416447259866,0.285714285714286,0,124,111,2
2020-08-29,2020-08-29,314,"Lilienfeld",25655,0.142857142857143,1,0.556839379680931,0.428571428571429,0,58,51,6
2020-08-29,2020-08-29,410,"Linz-Land",151371,7.28571428571429,51,4.81315066010946,6.28571428571429,0,674,580,9
2020-08-29,2020-08-29,401,"Linz(Stadt)",206595,8,56,3.87231055930686,11.7142857142857,0,935,840,17
2020-08-29,2020-08-29,106,"Mattersburg",40042,0.714285714285714,5,1.78384125239927,0.142857142857143,0,86,77,1
2020-08-29,2020-08-29,315,"Melk",78191,0.428571428571429,3,0.548108386606423,0.142857142857143,0,201,179,4
2020-08-29,2020-08-29,316,"Mistelbach",75625,0.857142857142857,6,1.13341204250295,0.571428571428571,0,174,156,7
2020-08-29,2020-08-29,317,"Mödling",119115,3.28571428571429,23,2.7584387236824,2.14285714285714,0,287,247,7
2020-08-29,2020-08-29,614,"Murau",27543,0,0,0,0,0,11,11,0
2020-08-29,2020-08-29,620,"Murtal",71698,0.571428571428571,4,0.796993739614175,1.42857142857143,0,86,77,1
2020-08-29,2020-08-29,318,"Neunkirchen",86343,1,7,1.15817147886916,0.428571428571429,0,249,234,7
2020-08-29,2020-08-29,107,"Neusiedl am See",59990,0.857142857142857,6,1.42880956349868,0.714285714285714,0,89,76,4
2020-08-29,2020-08-29,108,"Oberpullendorf",37384,0.285714285714286,2,0.764268900369906,0,0,37,32,1
2020-08-29,2020-08-29,109,"Oberwart",54192,0.571428571428571,4,1.05445189590451,0.714285714285714,0,157,144,4
2020-08-29,2020-08-29,411,"Perg",68968,1.85714285714286,13,2.69276020348982,1,0,398,377,3
2020-08-29,2020-08-29,708,"Reutte",32838,0.571428571428571,4,1.74014425795898,0.571428571428571,0,78,68,1
2020-08-29,2020-08-29,412,"Ried im Innkreis",61690,1.14285714285714,8,1.8525808767339,1.42857142857143,0,108,93,1
2020-08-29,2020-08-29,413,"Rohrbach",56545,2,14,3.53700592448492,0.571428571428571,0,203,185,0
2020-08-29,2020-08-29,102,"Rust(Stadt)",1980,0,0,0,0,0,1,1,0
2020-08-29,2020-08-29,503,"Salzburg-Umgebung",153492,1.85714285714286,13,1.20992811165589,3.14285714285714,0,333,301,11
2020-08-29,2020-08-29,501,"Salzburg(Stadt)",155021,4.14285714285714,29,2.67244898617422,4,0,311,251,1
2020-08-29,2020-08-29,504,"Sankt Johann im Pongau",81194,1,7,1.2316180998596,1.14285714285714,0,475,445,16
2020-08-29,2020-08-29,319,"Sankt Pölten(Land)",131729,1.28571428571429,9,0.976029792767185,2.42857142857143,0,351,319,11
2020-08-29,2020-08-29,302,"Sankt Pölten(Stadt)",55514,1,7,1.80134740786108,0.285714285714286,0,132,119,3
2020-08-29,2020-08-29,205,"Sankt Veit an der Glan",54186,0,0,6.34413156928661e-17,0.857142857142857,0,64,64,0
2020-08-29,2020-08-29,414,"Schärding",57391,0.285714285714286,2,0.497838137886229,0.142857142857143,0,76,70,1
2020-08-29,2020-08-29,320,"Scheibbs",41414,0,0,6.34413156928661e-16,0.285714285714286,0,113,111,1
2020-08-29,2020-08-29,709,"Schwaz",84329,2.57142857142857,18,3.04928147070233,4,0,436,395,14
2020-08-29,2020-08-29,206,"Spittal an der Drau",75868,0.142857142857143,1,0.188296966912457,1.57142857142857,0,67,64,1
2020-08-29,2020-08-29,415,"Steyr-Land",60717,0.714285714285714,5,1.17641799543079,2,0,232,218,7
2020-08-29,2020-08-29,402,"Steyr(Stadt)",38056,1,7,2.62770653773387,2.28571428571429,0,111,99,2
2020-08-29,2020-08-29,623,"Südoststeiermark",84036,0.571428571428571,4,0.679980688548445,0.142857142857143,0,79,72,2
2020-08-29,2020-08-29,505,"Tamsweg",20251,0,0,-1.26882631385732e-16,0,0,27,26,1
2020-08-29,2020-08-29,321,"Tulln",104593,2.28571428571429,16,2.18534154839644,1.85714285714286,0,252,226,6
2020-08-29,2020-08-29,416,"Urfahr-Umgebung",86005,1,7,1.16272309749433,1.42857142857143,0,371,347,5
2020-08-29,2020-08-29,207,"Villach Land",64618,0.285714285714286,2,0.442158973837454,2.57142857142857,0,75,70,2
2020-08-29,2020-08-29,202,"Villach Stadt",62882,0.714285714285714,5,1.13591443383753,1,0,59,47,0
2020-08-29,2020-08-29,417,"Vöcklabruck",137297,2.42857142857143,17,1.76884522500232,4.14285714285714,0,241,215,4
2020-08-29,2020-08-29,616,"Voitsberg",51044,0.285714285714286,2,0.559741175680366,0.428571428571429,0,110,103,5
2020-08-29,2020-08-29,208,"Völkermarkt",41862,0.142857142857143,1,0.341257328501129,0.285714285714286,0,59,54,3
2020-08-29,2020-08-29,322,"Waidhofen an der Thaya",25682,0.285714285714286,2,1.11250792661898,0,0,80,75,2
2020-08-29,2020-08-29,303,"Waidhofen an der Ybbs(Stadt)",11222,0,0,0,0,0,27,23,3
2020-08-29,2020-08-29,617,"Weiz",90654,1.14285714285714,8,1.260680326138,0.857142857142857,0,228,196,18
2020-08-29,2020-08-29,418,"Wels-Land",73777,3.42857142857143,24,4.6472090605086,2.42857142857143,0,189,153,1
2020-08-29,2020-08-29,403,"Wels(Stadt)",62470,5,35,8.00384184408516,4.57142857142857,0,250,193,0
2020-08-29,2020-08-29,900,"Wien",1911191,121.714285714286,852,6.36850454581911,89.5714285714286,0.142857142857143,7848,6008,225
2020-08-29,2020-08-29,323,"Wiener Neustadt(Land)",78307,3,21,3.83107512738325,0.571428571428571,0,144,117,6
2020-08-29,2020-08-29,304,"Wiener Neustadt(Stadt)",45823,3,21,6.54693058071274,0.428571428571429,0,123,98,0
2020-08-29,2020-08-29,209,"Wolfsberg",52607,0.142857142857143,1,0.271555387794672,1.14285714285714,0,70,64,2
2020-08-29,2020-08-29,506,"Zell am See",87628,1.42857142857143,10,1.63026821172619,0.571428571428571,0,389,369,9
2020-08-29,2020-08-29,325,"Zwettl",41987,0,0,0,0,0,85,79,3
2020-08-30,2020-08-30,305,"Amstetten",116520,1.14285714285714,8,0.980824873718797,1.42857142857143,0,341,317,16
2020-08-30,2020-08-30,306,"Baden",146751,3.71428571428571,26,2.53101220045227,3.57142857142857,0,316,268,4
2020-08-30,2020-08-30,801,"Bludenz",64107,0.714285714285714,5,1.11420861104983,2.42857142857143,0,316,301,4
2020-08-30,2020-08-30,404,"Braunau am Inn",105553,3.42857142857143,24,3.24819894135783,3.14285714285714,0,233,192,3
2020-08-30,2020-08-30,802,"Bregenz",134987,2.28571428571429,16,1.69328475017171,1.14285714285714,0,338,305,10
2020-08-30,2020-08-30,307,"Bruck an der Leitha",103735,2.85714285714286,20,2.75427084122317,2,0,213,171,5
2020-08-30,2020-08-30,621,"Bruck-Mürzzuschlag",98697,1.28571428571429,9,1.30268831445159,1.71428571428571,0,105,88,6
2020-08-30,2020-08-30,603,"Deutschlandsberg",60867,1,7,1.64292638046889,0,0,61,52,2
2020-08-30,2020-08-30,803,"Dornbirn",89912,1.57142857142857,11,1.74774064799868,0.428571428571429,0,191,176,4
2020-08-30,2020-08-30,405,"Eferding",33178,0.714285714285714,5,2.15288960843244,1.42857142857143,0,104,91,6
2020-08-30,2020-08-30,103,"Eisenstadt-Umgebung",43236,1.57142857142857,11,3.63453735643577,0,0,54,35,1
2020-08-30,2020-08-30,101,"Eisenstadt(Stadt)",14816,0.571428571428571,4,3.85683431039803,0.285714285714286,0,25,21,0
2020-08-30,2020-08-30,804,"Feldkirch",108133,0.714285714285714,5,0.660562191269746,1,0,254,245,2
2020-08-30,2020-08-30,210,"Feldkirchen",29902,0.571428571428571,4,1.91100451952569,0.285714285714286,0,23,18,1
2020-08-30,2020-08-30,406,"Freistadt",66861,1.57142857142857,11,2.35029175667216,0.714285714285714,0,159,141,6
2020-08-30,2020-08-30,308,"Gänserndorf",104782,4,28,3.81744956194766,3,0,199,160,5
2020-08-30,2020-08-30,309,"Gmünd",36553,0,0,0,0,0,17,17,0
2020-08-30,2020-08-30,407,"Gmunden",101859,1.57142857142857,11,1.54274886993645,1.71428571428571,0,170,149,2
2020-08-30,2020-08-30,606,"Graz-Umgebung",156070,2.71428571428571,19,1.73914635374237,2.28571428571429,0,324,262,36
2020-08-30,2020-08-30,601,"Graz(Stadt)",291072,12.4285714285714,87,4.26993026762156,9.57142857142857,0,792,630,39
2020-08-30,2020-08-30,408,"Grieskirchen",64875,1,7,1.54142581888247,0.714285714285714,0,111,100,1
2020-08-30,2020-08-30,104,"Güssing",25699,0,0,0,0.142857142857143,0,34,33,0
2020-08-30,2020-08-30,502,"Hallein",60824,0.285714285714286,2,0.469739388587212,1.14285714285714,0,103,95,1
2020-08-30,2020-08-30,622,"Hartberg-Fürstenfeld",90606,0.714285714285714,5,0.788342620009397,0.571428571428571,0,335,288,38
2020-08-30,2020-08-30,203,"Hermagor",18054,0.142857142857143,1,0.791276962762506,0,0,8,7,0
2020-08-30,2020-08-30,310,"Hollabrunn",51033,0.285714285714286,2,0.559861826101318,0.428571428571429,0,59,55,1
2020-08-30,2020-08-30,311,"Horn",30936,0,0,6.34413156928661e-17,0,0,94,87,5
2020-08-30,2020-08-30,702,"Imst",60474,0.571428571428571,4,0.944916115071885,0.428571428571429,0,313,299,8
2020-08-30,2020-08-30,703,"Innsbruck-Land",180453,7.28571428571429,51,4.0374581113721,4.28571428571429,0,523,449,13
2020-08-30,2020-08-30,701,"Innsbruck-Stadt",131961,8.71428571428571,61,6.60368268979904,7.57142857142857,0,720,596,6
2020-08-30,2020-08-30,105,"Jennersdorf",17097,0.285714285714286,2,1.6711369580294,0,0,13,10,0
2020-08-30,2020-08-30,409,"Kirchdorf an der Krems",57071,0.428571428571429,3,0.750944312472935,0.857142857142857,0,96,85,1
2020-08-30,2020-08-30,704,"Kitzbühel",64168,1.28571428571429,9,2.00366894045986,0.285714285714286,0,397,377,11
2020-08-30,2020-08-30,204,"Klagenfurt Land",60014,0.285714285714286,2,0.476079390999243,0.714285714285714,0,64,58,2
2020-08-30,2020-08-30,201,"Klagenfurt Stadt",101300,1.57142857142857,11,1.5512621633056,3.57142857142857,0,162,144,3
2020-08-30,2020-08-30,312,"Korneuburg",91254,1.42857142857143,10,1.56548910576131,1.42857142857143,0,241,218,5
2020-08-30,2020-08-30,301,"Krems an der Donau(Stadt)",25036,0,0,0,0.285714285714286,0,49,44,4
2020-08-30,2020-08-30,313,"Krems(Land)",56487,0.142857142857143,1,0.252902690631725,0.428571428571429,0,189,179,8
2020-08-30,2020-08-30,705,"Kufstein",110287,10.8571428571429,76,9.84444481864849,4.85714285714286,0,676,551,35
2020-08-30,2020-08-30,706,"Landeck",44386,0.571428571428571,4,1.28740722621676,0.571428571428571,0,977,958,16
2020-08-30,2020-08-30,610,"Leibnitz",84756,0.857142857142857,6,1.01130640561477,0,0,203,191,4
2020-08-30,2020-08-30,611,"Leoben",59700,0,0,3.1720657846433e-17,0.142857142857143,0,50,44,3
2020-08-30,2020-08-30,707,"Lienz",48738,0,0,0,0.571428571428571,0,164,156,6
2020-08-30,2020-08-30,612,"Liezen",79652,1.14285714285714,8,1.43481286453214,0.285714285714286,0,124,111,2
2020-08-30,2020-08-30,314,"Lilienfeld",25655,0.285714285714286,2,1.11367875936186,0.428571428571429,0,59,51,6
2020-08-30,2020-08-30,410,"Linz-Land",151371,7.57142857142857,53,5.00190166638826,6.42857142857143,0,676,582,9
2020-08-30,2020-08-30,401,"Linz(Stadt)",206595,8.71428571428571,61,4.21805257353068,11.1428571428571,0,941,844,17
2020-08-30,2020-08-30,106,"Mattersburg",40042,1.14285714285714,8,2.85414600383883,0.142857142857143,0,90,77,1
2020-08-30,2020-08-30,315,"Melk",78191,0.285714285714286,2,0.365405591070949,0.142857142857143,0,201,179,4
2020-08-30,2020-08-30,316,"Mistelbach",75625,0.857142857142857,6,1.13341204250295,0.428571428571429,0,175,156,7
2020-08-30,2020-08-30,317,"Mödling",119115,3.14285714285714,22,2.63850660526142,2.14285714285714,0,290,249,7
2020-08-30,2020-08-30,614,"Murau",27543,0,0,0,0,0,11,11,0
2020-08-30,2020-08-30,620,"Murtal",71698,0.571428571428571,4,0.796993739614175,1.71428571428571,0,86,79,1
2020-08-30,2020-08-30,318,"Neunkirchen",86343,1.28571428571429,9,1.48907761568892,0.428571428571429,0,252,234,7
2020-08-30,2020-08-30,107,"Neusiedl am See",59990,0.857142857142857,6,1.42880956349868,0.571428571428571,0,89,76,4
2020-08-30,2020-08-30,108,"Oberpullendorf",37384,0.142857142857143,1,0.382134450184953,0,0,37,32,1
2020-08-30,2020-08-30,109,"Oberwart",54192,0.571428571428571,4,1.05445189590451,0.571428571428571,0,157,144,4
2020-08-30,2020-08-30,411,"Perg",68968,1.71428571428571,12,2.48562480322137,1.14285714285714,0,398,378,3
2020-08-30,2020-08-30,708,"Reutte",32838,0.571428571428571,4,1.74014425795898,0.571428571428571,0,78,68,1
2020-08-30,2020-08-30,412,"Ried im Innkreis",61690,1.14285714285714,8,1.8525808767339,1.57142857142857,0,108,94,1
