Stamp,Status,Region,Count
2020-03-24 15:00:00,Confirmed,Kirchdorf_an_der_Krems,17
2020-03-24 15:00:00,Confirmed,Kitzbühel,104
2020-03-24 15:00:00,Confirmed,Klagenfurt_Land,15
2020-03-24 15:00:00,Confirmed,Klagenfurt_Stadt,29
2020-03-24 15:00:00,Confirmed,Korneuburg,67
2020-03-24 15:00:00,Confirmed,Krems_an_der_Donau_Stadt,4
2020-03-24 15:00:00,Confirmed,Krems_Land,30
2020-03-24 15:00:00,Confirmed,Kufstein,116
2020-03-24 15:00:00,Confirmed,Landeck,390
2020-03-24 15:00:00,Confirmed,Leibnitz,68
2020-03-24 15:00:00,Confirmed,Leoben,10
2020-03-24 15:00:00,Confirmed,Lienz,48
2020-03-24 15:00:00,Confirmed,Liezen,19
2020-03-24 15:00:00,Confirmed,Lilienfeld,10
2020-03-24 15:00:00,Confirmed,Linz_Stadt,106
2020-03-24 15:00:00,Confirmed,Linz-Land,70
2020-03-24 15:00:00,Confirmed,Mattersburg,8
2020-03-24 15:00:00,Confirmed,Melk,26
2020-03-24 15:00:00,Confirmed,Mistelbach,37
2020-03-24 15:00:00,Confirmed,Mödling,59
2020-03-24 15:00:00,Confirmed,Murau,1
2020-03-24 15:00:00,Confirmed,Murtal,15
2020-03-24 15:00:00,Confirmed,Neunkirchen,58
2020-03-24 15:00:00,Confirmed,Neusiedl_am_See,25
2020-03-24 15:00:00,Confirmed,Oberpullendorf,7
2020-03-24 15:00:00,Confirmed,Oberwart,27
2020-03-24 15:00:00,Confirmed,Perg,104
2020-03-24 15:00:00,Confirmed,Reutte,24
2020-03-24 15:00:00,Confirmed,Ried_im_Innkreis,17
2020-03-24 15:00:00,Confirmed,Rohrbach,66
2020-03-24 15:00:00,Confirmed,Salzburg_Stadt,66
2020-03-24 15:00:00,Confirmed,Salzburg-Umgebung,64
2020-03-24 15:00:00,Confirmed,Sankt_Johann_im_Pongau,159
2020-03-24 15:00:00,Confirmed,Sankt_Pölten_Land,49
2020-03-24 15:00:00,Confirmed,Sankt_Pölten_Stadt,18
2020-03-24 15:00:00,Confirmed,Sankt_Veit_an_der_Glan,10
2020-03-24 15:00:00,Confirmed,Schärding,23
2020-03-24 15:00:00,Confirmed,Scheibbs,12
2020-03-24 15:00:00,Confirmed,Schwaz,76
2020-03-24 15:00:00,Confirmed,Spittal_an_der_Drau,11
2020-03-24 15:00:00,Confirmed,Steyr_Stadt,12
2020-03-24 15:00:00,Confirmed,Steyr-Land,39
2020-03-24 15:00:00,Confirmed,Südoststeiermark,25
2020-03-24 15:00:00,Confirmed,Tamsweg,5
2020-03-24 15:00:00,Confirmed,Tulln,58
2020-03-24 15:00:00,Confirmed,Urfahr-Umgebung,111
2020-03-24 15:00:00,Confirmed,Villach_Land,14
2020-03-24 15:00:00,Confirmed,Villach_Stadt,12
2020-03-24 15:00:00,Confirmed,Vöcklabruck,44
2020-03-24 15:00:00,Confirmed,Voitsberg,27
2020-03-24 15:00:00,Confirmed,Völkermarkt,28
2020-03-24 15:00:00,Confirmed,Waidhofen_an_der_Thaya,3
2020-03-24 15:00:00,Confirmed,Waidhofen_an_der_Ybbs_Stadt,3
2020-03-24 15:00:00,Confirmed,Weiz,53
2020-03-24 15:00:00,Confirmed,Wels_Stadt,30
2020-03-24 15:00:00,Confirmed,Wels-Land,42
2020-03-24 15:00:00,Confirmed,Wien__1_Innere_Stadt,15
2020-03-24 15:00:00,Confirmed,Wien__2_Leopoldstadt,44
2020-03-24 15:00:00,Confirmed,Wien__3_Landstraße,80
2020-03-24 15:00:00,Confirmed,Wien__4_Wieden,22
2020-03-24 15:00:00,Confirmed,Wien__5_Margareten,9
2020-03-24 15:00:00,Confirmed,Wien__6_Mariahilf,16
2020-03-24 15:00:00,Confirmed,Wien__7_Neubau,13
2020-03-24 15:00:00,Confirmed,Wien__8_Josefstadt,12
2020-03-24 15:00:00,Confirmed,Wien__9_Alsergrund,11
2020-03-24 15:00:00,Confirmed,Wien_10_Favoriten,33
2020-03-24 15:00:00,Confirmed,Wien_11_Simmering,28
2020-03-24 15:00:00,Confirmed,Wien_12_Meidling,21
2020-03-24 15:00:00,Confirmed,Wien_13_Hietzing,21
2020-03-24 15:00:00,Confirmed,Wien_14_Penzing,33
2020-03-24 15:00:00,Confirmed,Wien_15_Rudolfsheim-Fünfhaus,21
2020-03-24 15:00:00,Confirmed,Wien_16_Ottakring,24
2020-03-24 15:00:00,Confirmed,Wien_17_Hernals,20
2020-03-24 15:00:00,Confirmed,Wien_18_Währing,20
2020-03-24 15:00:00,Confirmed,Wien_19_Döbling,40
2020-03-24 15:00:00,Confirmed,Wien_20_Brigittenau,15
2020-03-24 15:00:00,Confirmed,Wien_21_Floridsdorf,46
2020-03-24 15:00:00,Confirmed,Wien_22_Donaustadt,50
2020-03-24 15:00:00,Confirmed,Wien_23_Liesing,22
2020-03-24 15:00:00,Confirmed,Wiener_Neustadt_Land,5
2020-03-24 15:00:00,Confirmed,Wiener_Neustadt_Stadt,13
2020-03-24 15:00:00,Confirmed,Wolfsberg,14
2020-03-24 15:00:00,Confirmed,Zell_am_See,110
2020-03-24 15:00:00,Confirmed,Zwettl,3
2020-03-25 15:00:00,Confirmed,Amstetten,97
2020-03-25 15:00:00,Confirmed,Baden,45
2020-03-25 15:00:00,Confirmed,Bludenz,118
2020-03-25 15:00:00,Confirmed,Braunau_am_Inn,18
2020-03-25 15:00:00,Confirmed,Bregenz,97
2020-03-25 15:00:00,Confirmed,Bruck_an_der_Leitha,21
2020-03-25 15:00:00,Confirmed,Bruck-Mürzzuschlag,20
2020-03-25 15:00:00,Confirmed,Deutschlandsberg,11
2020-03-25 15:00:00,Confirmed,Dornbirn,63
2020-03-25 15:00:00,Confirmed,Eferding,12
2020-03-25 15:00:00,Confirmed,Eisenstadt_Stadt,7
2020-03-25 15:00:00,Confirmed,Eisenstadt-Umgebung,8
2020-03-25 15:00:00,Confirmed,Feldkirch,126
2020-03-25 15:00:00,Confirmed,Feldkirchen,5
2020-03-25 15:00:00,Confirmed,Freistadt,47
2020-03-25 15:00:00,Confirmed,Gänserndorf,21
2020-03-25 15:00:00,Confirmed,Gmünd,3
2020-03-25 15:00:00,Confirmed,Gmunden,29
