country,state,county,cases,deaths,recovered,tested,tests,public_tests,private_tests,hospitalized,presumed_cases,monitoring,Attribution,AttributionURL,publication_date,scrape_date,source_links
Austria,ALL,Murtal,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Neunkirchen,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Neusiedl_am_See,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Oberpullendorf,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Oberwart,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Perg,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Reutte,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Ried_im_Innkreis,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Rohrbach,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Salzburg_Stadt,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Salzburg-Umgebung,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Sankt_Johann_im_Pongau,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
