Datum;BundeslandID;Name;TestungenApotheken;TestungenApothekenPCR;TestungenApothekenAntigen;TestungenBetriebe
12.03.2021;7;Tirol;54064;0;54064;17983
12.03.2021;8;Vorarlberg;17282;0;17282;8659
12.03.2021;9;Wien;156988;0;156988;67056
12.03.2021;10;Österreich;546823;0;546823;384406
13.03.2021;1;Burgenland;39045;0;39045;10353
13.03.2021;2;Kärnten;25781;0;25781;18579
13.03.2021;3;Niederösterreich;63935;0;63935;92323
13.03.2021;4;Oberösterreich;60958;0;60958;66202
13.03.2021;5;Salzburg;43574;0;43574;24584
13.03.2021;6;Steiermark;95732;0;95732;81657
13.03.2021;7;Tirol;56399;0;56399;18172
13.03.2021;8;Vorarlberg;17762;0;17762;8669
13.03.2021;9;Wien;163293;0;163293;67261
13.03.2021;10;Österreich;566479;0;566479;387800
14.03.2021;1;Burgenland;39113;0;39113;10383
14.03.2021;2;Kärnten;25886;0;25886;18598
14.03.2021;3;Niederösterreich;64085;0;64085;93372
14.03.2021;4;Oberösterreich;60987;0;60987;66369
14.03.2021;5;Salzburg;43591;0;43591;24608
14.03.2021;6;Steiermark;95842;0;95842;81856
14.03.2021;7;Tirol;56561;0;56561;18280
14.03.2021;8;Vorarlberg;17774;0;17774;8674
14.03.2021;9;Wien;163344;0;163344;67374
14.03.2021;10;Österreich;567183;0;567183;389514
15.03.2021;1;Burgenland;44096;0;44096;11757
15.03.2021;2;Kärnten;29949;0;29949;20280
15.03.2021;3;Niederösterreich;73064;0;73064;106136
15.03.2021;4;Oberösterreich;66964;0;66964;75957
15.03.2021;5;Salzburg;51173;0;51173;27781
15.03.2021;6;Steiermark;108924;0;108924;91009
15.03.2021;7;Tirol;62672;0;62672;19521
15.03.2021;8;Vorarlberg;20453;0;20453;9565
15.03.2021;9;Wien;184611;0;184611;74299
15.03.2021;10;Österreich;641906;0;641906;436305
16.03.2021;1;Burgenland;48264;0;48264;12266
16.03.2021;2;Kärnten;33208;0;33208;21720
16.03.2021;3;Niederösterreich;80017;0;80017;114104
16.03.2021;4;Oberösterreich;71234;0;71234;80062
16.03.2021;5;Salzburg;57060;0;57060;29520
16.03.2021;6;Steiermark;118659;0;118659;96508
16.03.2021;7;Tirol;67346;0;67346;20544
16.03.2021;8;Vorarlberg;22212;0;22212;10228
16.03.2021;9;Wien;202800;0;202800;80064
16.03.2021;10;Österreich;700800;0;700800;465016
17.03.2021;1;Burgenland;52695;0;52695;12932
17.03.2021;2;Kärnten;36574;0;36574;22949
17.03.2021;3;Niederösterreich;87196;0;87196;123432
17.03.2021;4;Oberösterreich;75792;0;75792;84078
17.03.2021;5;Salzburg;63182;0;63182;31652
17.03.2021;6;Steiermark;128857;0;128857;103558
17.03.2021;7;Tirol;72611;0;72611;21795
17.03.2021;8;Vorarlberg;24141;0;24141;11114
17.03.2021;9;Wien;222815;0;222815;87701
17.03.2021;10;Österreich;763863;0;763863;499211
18.03.2021;1;Burgenland;57682;0;57682;13525
18.03.2021;2;Kärnten;40052;0;40052;24975
18.03.2021;3;Niederösterreich;94585;0;94585;131608
18.03.2021;4;Oberösterreich;80077;0;80077;90078
18.03.2021;5;Salzburg;69689;0;69689;34167
18.03.2021;6;Steiermark;139838;0;139838;111182
18.03.2021;7;Tirol;78205;0;78205;22750
18.03.2021;8;Vorarlberg;26311;0;26311;12174
18.03.2021;9;Wien;244417;0;244417;94874
18.03.2021;10;Österreich;830856;0;830856;535333
19.03.2021;1;Burgenland;62825;0;62825;14463
19.03.2021;2;Kärnten;42467;0;42467;25832
19.03.2021;3;Niederösterreich;102645;0;102645;139592
19.03.2021;4;Oberösterreich;84566;0;84566;94220
19.03.2021;5;Salzburg;75879;0;75879;35339
19.03.2021;6;Steiermark;151716;0;151716;115782
19.03.2021;7;Tirol;85775;0;85775;24078
19.03.2021;8;Vorarlberg;29180;0;29180;13222
19.03.2021;9;Wien;265175;0;265175;98465
19.03.2021;10;Österreich;900228;0;900228;560993
20.03.2021;1;Burgenland;64928;0;64928;14483
20.03.2021;2;Kärnten;44418;0;44418;25961
20.03.2021;3;Niederösterreich;106115;0;106115;142440
20.03.2021;4;Oberösterreich;86271;0;86271;94794
20.03.2021;5;Salzburg;78059;0;78059;35384
20.03.2021;6;Steiermark;154350;0;154350;116196
20.03.2021;7;Tirol;89599;0;89599;24261
20.03.2021;8;Vorarlberg;30453;0;30453;13410
20.03.2021;9;Wien;274519;0;274519;98778
20.03.2021;10;Österreich;928712;0;928712;565707
21.03.2021;1;Burgenland;64944;0;64944;14589
21.03.2021;2;Kärnten;44561;0;44561;25988
21.03.2021;3;Niederösterreich;106260;0;106260;143839
21.03.2021;4;Oberösterreich;86366;0;86366;94986
21.03.2021;5;Salzburg;78367;0;78367;35408
21.03.2021;6;Steiermark;154555;0;154555;116440
21.03.2021;7;Tirol;89820;0;89820;24458
21.03.2021;8;Vorarlberg;30477;0;30477;13423
21.03.2021;9;Wien;274586;0;274586;98827
21.03.2021;10;Österreich;929936;0;929936;567958
22.03.2021;1;Burgenland;70554;0;70554;16329
22.03.2021;2;Kärnten;49398;0;49398;27959
22.03.2021;3;Niederösterreich;116608;0;116608;157914
22.03.2021;4;Oberösterreich;94845;0;94845;104160
22.03.2021;5;Salzburg;84845;0;84845;38724
22.03.2021;6;Steiermark;168542;0;168542;127107
22.03.2021;7;Tirol;96766;0;96766;26441
22.03.2021;8;Vorarlberg;33070;0;33070;14715
22.03.2021;9;Wien;300592;0;300592;106855
22.03.2021;10;Österreich;1015220;0;1015220;620204
23.03.2021;1;Burgenland;75404;0;75404;17169
23.03.2021;2;Kärnten;52974;0;52974;29924
23.03.2021;3;Niederösterreich;124128;0;124128;166075
23.03.2021;4;Oberösterreich;101482;0;101482;109723
23.03.2021;5;Salzburg;89825;0;89825;43097
23.03.2021;6;Steiermark;179126;0;179126;134262
23.03.2021;7;Tirol;102829;0;102829;27406
23.03.2021;8;Vorarlberg;35098;0;35098;15401
23.03.2021;9;Wien;322800;0;322800;113050
23.03.2021;10;Österreich;1083666;0;1083666;656107
24.03.2021;1;Burgenland;80475;0;80475;18619
24.03.2021;2;Kärnten;56772;0;56772;31157
24.03.2021;3;Niederösterreich;132056;0;132056;177786
24.03.2021;4;Oberösterreich;108617;0;108617;115191
24.03.2021;5;Salzburg;94975;0;94975;45488
24.03.2021;6;Steiermark;190970;0;190970;141981
24.03.2021;7;Tirol;109547;0;109547;28682
24.03.2021;8;Vorarlberg;37667;0;37667;16637
24.03.2021;9;Wien;342968;0;342968;119985
24.03.2021;10;Österreich;1154047;0;1154047;695526
25.03.2021;1;Burgenland;86330;0;86330;19678
25.03.2021;2;Kärnten;61278;0;61278;33179
25.03.2021;3;Niederösterreich;142482;0;142482;188594
25.03.2021;4;Oberösterreich;116498;0;116498;122290
25.03.2021;5;Salzburg;100477;0;100477;47595
25.03.2021;6;Steiermark;203529;0;203529;149339
25.03.2021;7;Tirol;115874;0;115874;30178
