Datum;BundeslandID;Bevölkerung;Name;EingetrageneImpfungen;EingetrageneImpfungenPro100;Teilgeimpfte;TeilgeimpftePro100;Vollimmunisierte;VollimmunisiertePro100;Gruppe_<15_M_1;Gruppe_<15_W_1;Gruppe_<15_D_1;Gruppe_15-24_M_1;Gruppe_15-24_W_1;Gruppe_15-24_D_1;Gruppe_25-34_M_1;Gruppe_25-34_W_1;Gruppe_25-34_D_1;Gruppe_35-44_M_1;Gruppe_35-44_W_1;Gruppe_35-44_D_1;Gruppe_45-54_M_1;Gruppe_45-54_W_1;Gruppe_45-54_D_1;Gruppe_55-64_M_1;Gruppe_55-64_W_1;Gruppe_55-64_D_1;Gruppe_65-74_M_1;Gruppe_65-74_W_1;Gruppe_65-74_D_1;Gruppe_75-84_M_1;Gruppe_75-84_W_1;Gruppe_75-84_D_1;Gruppe_>84_M_1;Gruppe_>84_W_1;Gruppe_>84_D_1;Gruppe_<15_M_2;Gruppe_<15_W_2;Gruppe_<15_D_2;Gruppe_15-24_M_2;Gruppe_15-24_W_2;Gruppe_15-24_D_2;Gruppe_25-34_M_2;Gruppe_25-34_W_2;Gruppe_25-34_D_2;Gruppe_35-44_M_2;Gruppe_35-44_W_2;Gruppe_35-44_D_2;Gruppe_45-54_M_2;Gruppe_45-54_W_2;Gruppe_45-54_D_2;Gruppe_55-64_M_2;Gruppe_55-64_W_2;Gruppe_55-64_D_2;Gruppe_65-74_M_2;Gruppe_65-74_W_2;Gruppe_65-74_D_2;Gruppe_75-84_M_2;Gruppe_75-84_W_2;Gruppe_75-84_D_2;Gruppe_>84_M_2;Gruppe_>84_W_2;Gruppe_>84_D_2;Gruppe_NichtZuordenbar;EingetrageneImpfungenBioNTechPfizer_1;EingetrageneImpfungenModerna_1;EingetrageneImpfungenAstraZeneca_1;EingetrageneImpfungenBioNTechPfizer_2;EingetrageneImpfungenModerna_2;EingetrageneImpfungenAstraZeneca_2;EingetrageneImpfungenJanssen;ImpfstoffNichtZugeordnet_1;ImpfstoffNichtZugeordnet_2
2021-10-26T23:59:59+02:00;3;1690879;Niederösterreich;2207593;130.5588987;1155340;68.32777508;1102694;65.21424655;11376;10616;0;61685;57778;1;68150;63789;1;76790;77807;0;97915;99703;0;108896;107660;0;74546;80880;0;52311;64200;0;15138;26098;0;9781;9061;0;56659;53509;1;64005;59473;1;72827;73458;0;93754;95344;0;105152;104172;0;72860;78961;0;51156;62755;0;14655;25110;0;0;850582;71398;182838;806900;68777;176373;50546;81;98
2021-10-26T23:59:59+02:00;4;1495608;Oberösterreich;1723542;115.2402234;907668;60.68889709;858923;57.42968746;5987;5792;0;45186;43233;3;59231;51684;2;62933;59296;1;74444;72644;1;88513;86382;0;60904;65110;0;39804;51157;0;12631;22730;0;5076;4843;0;41304;39603;2;55354;47651;1;59519;55507;1;70530;68286;1;84683;82601;0;59009;62953;0;38600;49495;0;12142;21762;0;0;675078;79558;109915;635401;76333;104017;43092;68;80
2021-10-26T23:59:59+02:00;5;560710;Salzburg;659483;117.6157015;347784;62.02564606;329743;58.80811828;2430;2314;0;17864;16588;2;23166;21389;0;24842;24330;0;28361;28980;0;31166;32100;0;21817;24876;0;15548;19571;0;4534;7906;0;1944;1821;0;16154;15063;2;21620;19863;0;23454;22888;0;26992;27512;0;29996;30866;0;21203;24219;0;15169;18990;0;4376;7611;0;0;241565;32964;55161;227548;31832;52247;18053;50;63
2021-10-26T23:59:59+02:00;6;1247077;Steiermark;1572992;126.1343125;822579;65.96056218;788188;63.20283351;5874;5492;0;39959;38358;1;55216;49532;4;55821;54193;1;66317;65986;0;75749;75575;0;54429;60041;0;37518;48501;0;11705;22307;0;4933;4604;0;36850;35478;1;52207;46476;4;53289;51419;1;63768;63208;0;73541;73339;0;53247;58694;0;36757;47421;0;11361;21590;0;0;599612;79337;105798;571927;76616;101810;37778;57;57
2021-10-26T23:59:59+02:00;7;760105;Tirol;932159;122.6355569;491084;64.60738977;462442;60.83922616;4182;3895;1;26282;25222;2;35608;32960;2;35250;35128;3;40539;40846;2;43902;43906;1;28598;31842;0;20336;25475;0;6358;10744;0;3535;3205;1;23785;22854;1;33047;30260;1;33168;32876;3;38417;38485;1;41858;41923;1;27671;30758;0;19693;24583;0;6100;10216;0;0;345965;45898;77777;325225;44277;71509;21373;77;58
2021-10-26T23:59:59+02:00;8;399237;Vorarlberg;485721;121.6623209;252828;63.32779777;245265;61.43343428;2075;1968;0;14440;13351;1;17262;15740;0;18819;18547;0;21817;21721;0;23093;21994;0;14858;16048;0;10162;12414;0;3106;5412;0;1790;1703;0;13475;12569;1;16541;15036;0;18282;17914;0;21356;21203;0;22709;21584;0;14658;15807;0;10039;12260;0;3041;5297;0;0;181837;22970;35618;175583;22592;34664;12388;31;38
2021-10-26T23:59:59+02:00;9;1920949;Wien;2353716;122.5288126;1260887;65.63875459;1192443;62.07572403;12166;11524;1;72194;72064;6;113471;110010;5;102421;101610;7;98160;103424;0;96362;98069;0;57663;71394;0;44716;62024;0;11081;22515;0;9771;9488;1;65495;65787;6;106578;102917;4;96810;95443;7;93540;98312;0;92710;94359;0;55989;69305;0;43601;60308;0;10620;21392;0;0;863499;137954;159220;813274;132588;146249;99692;600;640
2021-10-26T23:59:59+02:00;10;8932664;Österreich;11159034;124.9239197;5889077;65.92744337;5595973;62.64618259;48475;45691;2;307688;294616;18;412715;380611;21;422499;413939;16;482202;489752;5;529038;528334;2;357376;398734;0;248506;318766;0;73235;134531;0;40537;38128;2;280925;270375;15;386957;354391;17;400206;389774;16;460211;465593;4;509551;508934;2;348079;387973;0;242425;310291;0;70677;129107;0;4088;4219754;531441;810705;3990040;510983;767433;326329;1161;1188
2021-10-27T23:59:59+02:00;0;;KeineZuordnung;150284;;86091;;77870;;243;232;0;4422;3875;2;10987;7772;7;10313;7028;4;8848;9245;1;5793;6376;1;2020;2437;0;1244;1674;0;335;922;0;182;169;0;3828;3357;1;9862;6996;6;9356;6369;4;8138;8406;1;5381;5906;1;1898;2300;0;1175;1594;0;300;852;0;4098;54331;8235;9751;48132;7545;8411;13681;97;101
2021-10-27T23:59:59+02:00;1;296010;Burgenland;410485;138.67268;215282;72.72794838;207459;70.08513226;2013;1956;0;10377;9715;0;11315;10673;0;13906;14345;0;17838;18209;0;21055;20975;0;16545;17232;0;9213;11216;0;2974;5725;0;1762;1668;0;9651;9147;0;10770;10032;0;13317;13707;0;17245;17577;0;20497;20409;0;16241;16922;0;9042;11011;0;2889;5572;0;0;154548;20500;27962;148173;19797;27200;12273;16;16
2021-10-27T23:59:59+02:00;2;562089;Kärnten;664775;118.2686372;350379;62.33514621;331912;59.04972344;2154;1943;0;15375;14498;0;18410;17139;0;21508;21716;0;28032;29077;1;34556;35328;0;26006;28882;0;17663;22543;0;5373;10175;0;1810;1609;0;13830;13119;0;17062;15774;0;20262;20263;0;26534;27331;1;33070;33807;0;25322;28083;0;17209;21903;0;5198;9725;0;0;253471;32643;46665;238736;30637;44954;17548;84;37
2021-10-27T23:59:59+02:00;3;1690879;Niederösterreich;2210204;130.7133154;1156919;68.42115846;1103821;65.28089828;11462;10715;0;61828;57935;1;68330;63955;1;76949;77916;0;98030;99805;0;108978;107718;0;74574;80905;0;52326;64225;0;15147;26119;0;9842;9136;0;56809;53627;1;64111;59592;1;72904;73531;0;93834;95409;0;105198;104217;0;72883;78985;0;51179;62782;0;14662;25118;0;0;851999;71459;182844;807895;68804;176383;50641;81;98
2021-10-27T23:59:59+02:00;4;1495608;Oberösterreich;1727381;115.4969083;910038;60.84736107;860576;57.54021107;6091;5886;0;45490;43494;3;59583;51913;2;63160;59488;1;74635;72796;1;88611;86470;0;60921;65142;0;39809;51169;0;12637;22736;0;5152;4922;0;41503;39816;2;55536;47829;1;59646;55622;1;70613;68398;1;84765;82673;0;59039;62991;0;38621;49524;0;12145;21776;0;0;677248;79573;109916;636860;76343;104017;43276;68;80
2021-10-27T23:59:59+02:00;5;560710;Salzburg;660285;117.7587345;348274;62.11303526;330068;58.86608051;2455;2338;0;17922;16635;2;23212;21438;0;24889;24369;0;28408;29022;0;31193;32119;0;21819;24886;0;15551;19573;0;4534;7909;0;1962;1845;0;16194;15109;2;21652;19895;0;23486;22919;0;27003;27533;0;30009;30877;0;21211;24221;0;15171;18992;0;4376;7611;0;0;242041;32965;55161;227860;31832;52247;18066;50;63
2021-10-27T23:59:59+02:00;6;1247077;Steiermark;1574914;126.2884329;823504;66.03473563;789206;63.28446439;5922;5527;0;40067;38453;1;55319;49635;4;55895;54260;1;66384;66054;0;75803;75616;0;54443;60057;0;37528;48515;0;11708;22312;0;4985;4647;0;36955;35620;1;52304;46562;4;53358;51501;1;63821;63269;0;73601;73393;0;53281;58716;0;36771;47445;0;11367;21604;0;0;600514;79339;105798;572914;76625;101811;37799;57;57
2021-10-27T23:59:59+02:00;7;760105;Tirol;933690;122.8369765;492067;64.73671401;463065;60.92118852;4225;3924;1;26425;25338;2;35755;33065;2;35350;35208;3;40610;40894;2;43943;43928;1;28609;31853;0;20341;25481;0;6361;10746;0;3563;3218;1;23851;22937;1;33126;30329;1;33215;32926;3;38471;38523;1;41896;41946;1;27679;30768;0;19698;24592;0;6101;10218;0;0;346843;45928;77777;325738;44309;71512;21448;77;58
2021-10-27T23:59:59+02:00;8;399237;Vorarlberg;485907;121.7089097;252896;63.34483026;245384;61.46324113;2081;1973;0;14445;13358;1;17264;15748;0;18831;18553;0;21822;21723;0;23097;21995;0;14862;16048;0;10162;12414;0;3106;5413;0;1798;1709;0;13493;12593;1;16547;15048;0;18287;17922;0;21363;21209;0;22712;21586;0;14661;15809;0;10044;12263;0;3042;5297;0;0;181902;22972;35618;175701;22592;34664;12389;31;38
